time: 2015-05-02 01:18:52, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-02 16:52:19, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-02 19:40:10, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-05-02 20:10:34, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-02 21:11:27, pleasant_state: neutral, energy_state: neutral, stress_state: slightly_stressed
time: 2015-05-02 21:41:54, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: feeling_good
time: 2015-05-02 22:12:18, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-02 22:42:36, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-02 23:13:11, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: neutral
time: 2015-05-03 00:13:55, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: feeling_good
time: 2015-05-03 13:50:20, pleasant_state: neutral, energy_state: slightly_energetic, stress_state: neutral
time: 2015-05-04 10:01:39, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: feeling_good
time: 2015-05-04 10:32:08, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-04 11:02:35, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-04 11:32:53, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-04 12:03:25, pleasant_state: neutral, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-04 14:01:06, pleasant_state: neutral, energy_state: very_low_energy, stress_state: neutral
time: 2015-05-04 14:31:33, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: feeling_good
time: 2015-05-04 15:01:55, pleasant_state: slightly_pleasant, energy_state: neutral, stress_state: neutral
time: 2015-05-04 16:09:40, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-04 16:45:46, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-04 17:43:09, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-04 17:45:47, pleasant_state: , energy_state: , stress_state: 
time: 2015-05-04 23:34:56, pleasant_state: slightly_unpleasant, energy_state: very_low_energy, stress_state: very_stressed
time: 2015-05-05 00:20:13, pleasant_state: slightly_unpleasant, energy_state: very_low_energy, stress_state: slightly_stressed
time: 2015-05-05 00:57:48, pleasant_state: neutral, energy_state: very_low_energy, stress_state: slightly_stressed
time: 2015-05-05 08:49:12, pleasant_state: neutral, energy_state: neutral, stress_state: neutral
time: 2015-05-05 09:18:58, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-05 09:49:04, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-05 10:19:12, pleasant_state: very_pleasant, energy_state: slightly_low_energy, stress_state: very_stressed
time: 2015-05-05 10:49:20, pleasant_state: very_pleasant, energy_state: slightly_low_energy, stress_state: very_stressed
time: 2015-05-05 11:19:23, pleasant_state: slightly_unpleasant, energy_state: slightly_low_energy, stress_state: slightly_stressed
time: 2015-05-05 12:46:44, pleasant_state: very_pleasant, energy_state: very_low_energy, stress_state: very_stressed
time: 2015-05-05 13:07:01, pleasant_state: very_pleasant, energy_state: very_low_energy, stress_state: very_stressed
