2015-05-04 21:44:35.729264 |      MouseMoveHooker |           NSMouseMoved | y=1587.05859375 x=-65.83203125
2015-05-04 21:44:35.746314 |      MouseMoveHooker |           NSMouseMoved | y=1593.3125 x=-40.80859375
2015-05-04 21:44:35.763505 |      MouseMoveHooker |           NSMouseMoved | y=1602.6953125 x=-8.4921875
2015-05-04 21:44:35.781868 |      MouseMoveHooker |           NSMouseMoved | y=1611.03515625 x=19.69921875
2015-05-04 21:44:35.798099 |      MouseMoveHooker |           NSMouseMoved | y=1620.41796875 x=58.2734375
2015-05-04 21:44:35.814587 |      MouseMoveHooker |           NSMouseMoved | y=1625.9765625 x=83.98828125
2015-05-04 21:44:35.831654 |      MouseMoveHooker |           NSMouseMoved | y=1628.0625 x=100.66796875
2015-05-04 21:44:35.849721 |      MouseMoveHooker |           NSMouseMoved | y=1630.1484375 x=117.34765625
2015-05-04 21:44:35.865894 |      MouseMoveHooker |           NSMouseMoved | y=1630.1484375 x=124.64453125
2015-05-04 21:44:35.883560 |      MouseMoveHooker |           NSMouseMoved | y=1630.1484375 x=127.7734375
2015-05-04 21:44:35.900050 |      MouseMoveHooker |           NSMouseMoved | y=1630.1484375 x=128.7734375
2015-05-04 21:44:36.149558 |      MouseMoveHooker |           NSMouseMoved | y=1628.0625 x=128.7734375
2015-05-04 21:44:36.166634 |      MouseMoveHooker |           NSMouseMoved | y=1625.9765625 x=128.7734375
2015-05-04 21:44:36.183699 |      MouseMoveHooker |           NSMouseMoved | y=1621.80859375 x=128.7734375
2015-05-04 21:44:36.200611 |      MouseMoveHooker |           NSMouseMoved | y=1619.72265625 x=128.7734375
2015-05-04 21:44:36.218506 |      MouseMoveHooker |           NSMouseMoved | y=1617.63671875 x=128.7734375
2015-05-04 21:44:36.235424 |      MouseMoveHooker |           NSMouseMoved | y=1615.55078125 x=128.7734375
2015-05-04 21:44:36.251978 |      MouseMoveHooker |           NSMouseMoved | y=1614.51171875 x=128.7734375
2015-05-04 21:44:36.270803 |      MouseMoveHooker |           NSMouseMoved | y=1613.81640625 x=128.7734375
2015-05-04 21:44:36.302823 |      MouseMoveHooker |           NSMouseMoved | y=1612.81640625 x=128.7734375
2015-05-04 21:44:36.320314 |      MouseMoveHooker |           NSMouseMoved | y=1611.7734375 x=126.6875
2015-05-04 21:44:36.337090 |      MouseMoveHooker |           NSMouseMoved | y=1609.6875 x=125.64453125
2015-05-04 21:44:36.558073 |    MouseButtonHooker |        NSLeftMouseDown | y=1609.6875 x=125.64453125
2015-05-04 21:44:36.579336 |    MouseButtonHooker |          NSLeftMouseUp | y=1609.6875 x=125.64453125
2015-05-04 21:44:37.130102 |            KeyHooker |              NSKeyDown | char=  mods=[] key=49 is_repeat=False
2015-05-04 21:44:37.226268 |    MouseButtonHooker |        NSLeftMouseDown | y=1609.6875 x=125.64453125
