2015-05-01 14:15:46.907285 |      MouseMoveHooker |           NSMouseMoved | y=933.83203125 x=952.5234375
2015-05-01 14:15:46.924254 |      MouseMoveHooker |           NSMouseMoved | y=952.59765625 x=969.203125
2015-05-01 14:15:47.113452 |      MouseMoveHooker |           NSMouseMoved | y=953.59765625 x=969.203125
2015-05-01 14:15:47.131358 |      MouseMoveHooker |           NSMouseMoved | y=962.98046875 x=969.203125
2015-05-01 14:15:47.147822 |      MouseMoveHooker |           NSMouseMoved | y=1005.72265625 x=976.5
2015-05-01 14:15:47.171820 |      MouseMoveHooker |           NSMouseMoved | y=1066.1875 x=994.22265625
2015-05-01 14:15:47.182286 |      MouseMoveHooker |           NSMouseMoved | y=1144.37890625 x=1024.45703125
2015-05-01 14:15:47.199831 |      MouseMoveHooker |           NSMouseMoved | y=1236.12109375 x=1067.19921875
2015-05-01 14:15:47.216984 |      MouseMoveHooker |           NSMouseMoved | y=1333.07421875 x=1120.3671875
2015-05-01 14:15:47.233830 |      MouseMoveHooker |           NSMouseMoved | y=1424.12109375 x=1169.01953125
2015-05-01 14:15:47.251629 |      MouseMoveHooker |           NSMouseMoved | y=1452.26953125 x=1188.828125
2015-05-01 14:15:47.425551 |      MouseMoveHooker |           NSMouseMoved | y=1452.26953125 x=1185.69921875
2015-05-01 14:15:47.443298 |      MouseMoveHooker |           NSMouseMoved | y=1456.4375 x=1175.2734375
2015-05-01 14:15:47.460412 |      MouseMoveHooker |           NSMouseMoved | y=1466.86328125 x=1155.46484375
2015-05-01 14:15:47.477599 |      MouseMoveHooker |           NSMouseMoved | y=1498.140625 x=1107.51171875
2015-05-01 14:15:47.495049 |      MouseMoveHooker |           NSMouseMoved | y=1541.92578125 x=1059.5546875
2015-05-01 14:15:47.512756 |      MouseMoveHooker |           NSMouseMoved | y=1601.34765625 x=1009.51171875
2015-05-01 14:15:47.529445 |      MouseMoveHooker |           NSMouseMoved | y=1650.34765625 x=979.28125
2015-05-01 14:15:47.547053 |      MouseMoveHooker |           NSMouseMoved | y=1671.890625 x=969.55078125
2015-05-01 14:15:47.563946 |      MouseMoveHooker |           NSMouseMoved | y=1696.9140625 x=958.08203125
2015-05-01 14:15:47.777460 |      MouseMoveHooker |           NSMouseMoved | y=1694.828125 x=958.08203125
2015-05-01 14:15:47.795187 |      MouseMoveHooker |           NSMouseMoved | y=1688.57421875 x=958.08203125
2015-05-01 14:15:47.812348 |      MouseMoveHooker |           NSMouseMoved | y=1684.40234375 x=958.08203125
2015-05-01 14:15:47.829274 |      MouseMoveHooker |           NSMouseMoved | y=1679.19140625 x=958.08203125
2015-05-01 14:15:47.846569 |      MouseMoveHooker |           NSMouseMoved | y=1676.0625 x=958.08203125
2015-05-01 14:15:47.864479 |      MouseMoveHooker |           NSMouseMoved | y=1675.01953125 x=958.08203125
2015-05-01 14:15:47.881450 |      MouseMoveHooker |           NSMouseMoved | y=1673.9765625 x=958.08203125
2015-05-01 14:15:47.899328 |      MouseMoveHooker |           NSMouseMoved | y=1672.93359375 x=958.08203125
2015-05-01 14:15:47.916867 |      MouseMoveHooker |           NSMouseMoved | y=1670.15625 x=958.08203125
2015-05-01 14:15:47.933853 |      MouseMoveHooker |           NSMouseMoved | y=1668.0703125 x=958.08203125
