Hooker 2015-05-02 16:52:13.560244 |      MouseMoveHooker |           NSMouseMoved | y=456.24609375 x=848.05078125
Hooker 2015-05-02 16:52:13.577317 |      MouseMoveHooker |           NSMouseMoved | y=456.24609375 x=866.8125
Hooker 2015-05-02 16:52:13.594158 |      MouseMoveHooker |           NSMouseMoved | y=452.078125 x=883.484375
Hooker 2015-05-02 16:52:13.610004 |      MouseMoveHooker |           NSMouseMoved | y=446.8671875 x=891.82421875
Hooker 2015-05-02 16:52:13.630767 |      MouseMoveHooker |           NSMouseMoved | y=440.61328125 x=897.3828125
Hooker 2015-05-02 16:52:13.848001 |      MouseMoveHooker |           NSMouseMoved | y=438.61328125 x=897.3828125
Hooker 2015-05-02 16:52:13.865349 |      MouseMoveHooker |           NSMouseMoved | y=432.36328125 x=898.421875
Hooker 2015-05-02 16:52:13.882065 |      MouseMoveHooker |           NSMouseMoved | y=427.15234375 x=899.46484375
Hooker 2015-05-02 16:52:13.899403 |      MouseMoveHooker |           NSMouseMoved | y=420.8984375 x=900.5078125
Hooker 2015-05-02 16:52:13.917628 |      MouseMoveHooker |           NSMouseMoved | y=416.73046875 x=901.55078125
Hooker 2015-05-02 16:52:13.933569 |      MouseMoveHooker |           NSMouseMoved | y=413.94921875 x=901.55078125
Hooker 2015-05-02 16:52:13.950915 |      MouseMoveHooker |           NSMouseMoved | y=411.8671875 x=901.55078125
Hooker 2015-05-02 16:52:13.970270 |      MouseMoveHooker |           NSMouseMoved | y=410.82421875 x=899.46484375
Hooker 2015-05-02 16:52:13.982719 |      MouseMoveHooker |           NSMouseMoved | y=407.69921875 x=897.3828125
Hooker 2015-05-02 16:52:14.003688 |      MouseMoveHooker |           NSMouseMoved | y=405.61328125 x=894.25390625
Hooker 2015-05-02 16:52:14.248369 |    MouseButtonHooker |        NSLeftMouseDown | y=405.61328125 x=894.25390625
Hooker 2015-05-02 16:52:14.259309 |    MouseButtonHooker |          NSLeftMouseUp | y=405.61328125 x=894.25390625
Hooker 2015-05-02 16:52:14.749741 |      MouseMoveHooker |           NSMouseMoved | y=406.61328125 x=894.25390625
Hooker 2015-05-02 16:52:14.765595 |      MouseMoveHooker |           NSMouseMoved | y=412.8671875 x=894.25390625
Hooker 2015-05-02 16:52:14.782385 |      MouseMoveHooker |           NSMouseMoved | y=428.5 x=894.25390625
Hooker 2015-05-02 16:52:14.799533 |      MouseMoveHooker |           NSMouseMoved | y=447.2578125 x=894.25390625
Hooker 2015-05-02 16:52:14.817435 |      MouseMoveHooker |           NSMouseMoved | y=472.26953125 x=898.421875
Hooker 2015-05-02 16:52:14.835103 |      MouseMoveHooker |           NSMouseMoved | y=498.32421875 x=904.67578125
Hooker 2015-05-02 16:52:14.852847 |      MouseMoveHooker |           NSMouseMoved | y=524.37890625 x=913.01171875
Hooker 2015-05-02 16:52:14.869225 |      MouseMoveHooker |           NSMouseMoved | y=538.96875 x=919.265625
Hooker 2015-05-02 16:52:14.886512 |      MouseMoveHooker |           NSMouseMoved | y=547.3046875 x=924.4765625
Hooker 2015-05-02 16:52:14.903513 |      MouseMoveHooker |           NSMouseMoved | y=552.515625 x=929.6875
Hooker 2015-05-02 16:52:15.103634 |      MouseMoveHooker |           NSMouseMoved | y=555.640625 x=929.6875
Hooker 2015-05-02 16:52:15.121271 |      MouseMoveHooker |           NSMouseMoved | y=560.8515625 x=931.7734375
Hooker 2015-05-02 16:52:15.139010 |      MouseMoveHooker |           NSMouseMoved | y=567.10546875 x=935.94140625
Hooker 2015-05-02 16:52:15.156188 |      MouseMoveHooker |           NSMouseMoved | y=571.2734375 x=939.06640625
Hooker 2015-05-02 16:52:15.172398 |      MouseMoveHooker |           NSMouseMoved | y=574.75 x=941.84765625
Hooker 2015-05-02 16:52:15.187544 |      MouseMoveHooker |           NSMouseMoved | y=576.83203125 x=942.88671875
Hooker 2015-05-02 16:52:15.203956 |      MouseMoveHooker |           NSMouseMoved | y=577.875 x=943.9296875
Hooker 2015-05-02 16:52:15.222056 |      MouseMoveHooker |           NSMouseMoved | y=577.875 x=944.97265625
Hooker 2015-05-02 16:52:15.280647 |      MouseMoveHooker |           NSMouseMoved | y=577.875 x=943.9296875
Hooker 2015-05-02 16:52:15.299360 |      MouseMoveHooker |           NSMouseMoved | y=576.83203125 x=938.71875
Hooker 2015-05-02 16:52:15.311507 |      MouseMoveHooker |           NSMouseMoved | y=572.6640625 x=929.33984375
Hooker 2015-05-02 16:52:15.329177 |      MouseMoveHooker |           NSMouseMoved | y=567.453125 x=917.875
Hooker 2015-05-02 16:52:15.351332 |      MouseMoveHooker |           NSMouseMoved | y=562.2421875 x=905.37109375
Hooker 2015-05-02 16:52:15.363292 |      MouseMoveHooker |           NSMouseMoved | y=558.07421875 x=894.94921875
Hooker 2015-05-02 16:52:15.384779 |      MouseMoveHooker |           NSMouseMoved | y=554.9453125 x=888.6953125
Hooker 2015-05-02 16:52:15.408171 |      MouseMoveHooker |           NSMouseMoved | y=551.8203125 x=884.1796875
Hooker 2015-05-02 16:52:15.414329 |      MouseMoveHooker |           NSMouseMoved | y=551.8203125 x=884.1796875
Hooker 2015-05-02 16:52:15.443177 |      MouseMoveHooker |           NSMouseMoved | y=557.03125 x=888.34765625
Hooker 2015-05-02 16:52:15.465954 |      MouseMoveHooker |           NSMouseMoved | y=561.03125 x=892.34765625
Hooker 2015-05-02 16:52:15.586310 |      MouseMoveHooker |           NSMouseMoved | y=561.03125 x=893.34765625
Hooker 2015-05-02 16:52:15.602689 |      MouseMoveHooker |           NSMouseMoved | y=562.07421875 x=895.43359375
Hooker 2015-05-02 16:52:15.619671 |      MouseMoveHooker |           NSMouseMoved | y=562.07421875 x=896.4765625
Hooker 2015-05-02 16:52:15.640964 |      MouseMoveHooker |           NSMouseMoved | y=562.07421875 x=897.171875
Hooker 2015-05-02 16:52:15.671550 |      MouseMoveHooker |           NSMouseMoved | y=559.98828125 x=889.875
Hooker 2015-05-02 16:52:15.687961 |      MouseMoveHooker |           NSMouseMoved | y=541.23046875 x=851.31640625
Hooker 2015-05-02 16:52:15.705201 |      MouseMoveHooker |           NSMouseMoved | y=515.17578125 x=791.91015625
Hooker 2015-05-02 16:52:15.722905 |      MouseMoveHooker |           NSMouseMoved | y=494.33203125 x=739.8046875
Hooker 2015-05-02 16:52:15.740842 |      MouseMoveHooker |           NSMouseMoved | y=480.78515625 x=697.07421875
Hooker 2015-05-02 16:52:15.757632 |      MouseMoveHooker |           NSMouseMoved | y=472.44921875 x=663.7265625
Hooker 2015-05-02 16:52:15.774649 |      MouseMoveHooker |           NSMouseMoved | y=468.27734375 x=644.2734375
Hooker 2015-05-02 16:52:15.791830 |      MouseMoveHooker |           NSMouseMoved | y=466.1953125 x=633.8515625
Hooker 2015-05-02 16:52:15.809784 |      MouseMoveHooker |           NSMouseMoved | y=465.15234375 x=629.68359375
Hooker 2015-05-02 16:52:16.077941 |      MouseMoveHooker |           NSMouseMoved | y=466.1953125 x=629.68359375
Hooker 2015-05-02 16:52:16.095825 |      MouseMoveHooker |           NSMouseMoved | y=468.27734375 x=628.640625
Hooker 2015-05-02 16:52:16.112434 |      MouseMoveHooker |           NSMouseMoved | y=470.36328125 x=627.59765625
Hooker 2015-05-02 16:52:16.129437 |      MouseMoveHooker |           NSMouseMoved | y=471.40625 x=626.5546875
Hooker 2015-05-02 16:52:16.148081 |      MouseMoveHooker |           NSMouseMoved | y=472.44921875 x=625.515625
Hooker 2015-05-02 16:52:16.165206 |      MouseMoveHooker |           NSMouseMoved | y=473.140625 x=624.125
Hooker 2015-05-02 16:52:16.182316 |      MouseMoveHooker |           NSMouseMoved | y=475.2265625 x=622.0390625
Hooker 2015-05-02 16:52:16.196222 |      MouseMoveHooker |           NSMouseMoved | y=475.2265625 x=620.99609375
Hooker 2015-05-02 16:52:16.216994 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=620.99609375
Hooker 2015-05-02 16:52:16.234576 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=619.99609375
Hooker 2015-05-02 16:52:16.260991 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=619.3046875
Hooker 2015-05-02 16:52:16.286332 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=618.609375
Hooker 2015-05-02 16:52:16.302364 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=617.56640625
Hooker 2015-05-02 16:52:16.320315 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=616.5234375
Hooker 2015-05-02 16:52:16.339177 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=614.44140625
Hooker 2015-05-02 16:52:16.351014 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=613.3984375
Hooker 2015-05-02 16:52:16.371049 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=611.3125
Hooker 2015-05-02 16:52:16.387877 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=610.26953125
Hooker 2015-05-02 16:52:16.411640 |      MouseMoveHooker |           NSMouseMoved | y=476.26953125 x=608.1875
Hooker 2015-05-02 16:52:16.427085 |      MouseMoveHooker |           NSMouseMoved | y=477.3125 x=607.14453125
Hooker 2015-05-02 16:52:16.456820 |      MouseMoveHooker |           NSMouseMoved | y=477.3125 x=606.44921875
Hooker 2015-05-02 16:52:16.634131 |    MouseButtonHooker |        NSLeftMouseDown | y=477.3125 x=606.44921875
Hooker 2015-05-02 16:52:16.646305 |    MouseButtonHooker |          NSLeftMouseUp | y=477.3125 x=606.44921875
Hooker 2015-05-02 16:52:16.895248 |      MouseMoveHooker |           NSMouseMoved | y=475.3125 x=606.44921875
Hooker 2015-05-02 16:52:16.908081 |      MouseMoveHooker |           NSMouseMoved | y=468.015625 x=606.44921875
Hooker 2015-05-02 16:52:16.926375 |      MouseMoveHooker |           NSMouseMoved | y=461.76171875 x=606.44921875
Hooker 2015-05-02 16:52:16.945332 |      MouseMoveHooker |           NSMouseMoved | y=451.33984375 x=606.44921875
Hooker 2015-05-02 16:52:16.962492 |      MouseMoveHooker |           NSMouseMoved | y=440.91796875 x=606.44921875
Hooker 2015-05-02 16:52:16.978006 |      MouseMoveHooker |           NSMouseMoved | y=431.88671875 x=606.44921875
Hooker 2015-05-02 16:52:16.995537 |      MouseMoveHooker |           NSMouseMoved | y=423.55078125 x=606.44921875
Hooker 2015-05-02 16:52:17.016483 |      MouseMoveHooker |           NSMouseMoved | y=415.21484375 x=606.44921875
Hooker 2015-05-02 16:52:17.030808 |      MouseMoveHooker |           NSMouseMoved | y=407.91796875 x=605.40625
Hooker 2015-05-02 16:52:17.049911 |      MouseMoveHooker |           NSMouseMoved | y=402.70703125 x=605.40625
Hooker 2015-05-02 16:52:17.067490 |      MouseMoveHooker |           NSMouseMoved | y=397.84375 x=604.7109375
Hooker 2015-05-02 16:52:17.082470 |      MouseMoveHooker |           NSMouseMoved | y=394.71875 x=604.7109375
Hooker 2015-05-02 16:52:17.101094 |      MouseMoveHooker |           NSMouseMoved | y=391.58984375 x=603.671875
Hooker 2015-05-02 16:52:17.118225 |      MouseMoveHooker |           NSMouseMoved | y=388.46484375 x=603.671875
Hooker 2015-05-02 16:52:17.134103 |      MouseMoveHooker |           NSMouseMoved | y=385.33984375 x=602.62890625
Hooker 2015-05-02 16:52:17.153546 |      MouseMoveHooker |           NSMouseMoved | y=382.55859375 x=602.62890625
Hooker 2015-05-02 16:52:17.170683 |      MouseMoveHooker |           NSMouseMoved | y=380.4765625 x=602.62890625
Hooker 2015-05-02 16:52:17.189915 |      MouseMoveHooker |           NSMouseMoved | y=380.4765625 x=601.62890625
Hooker 2015-05-02 16:52:17.374531 |    MouseButtonHooker |        NSLeftMouseDown | y=380.4765625 x=601.62890625
Hooker 2015-05-02 16:52:17.394939 |    MouseButtonHooker |          NSLeftMouseUp | y=380.4765625 x=601.62890625
Hooker 2015-05-02 16:52:17.626186 |      MouseMoveHooker |           NSMouseMoved | y=379.78125 x=601.62890625
Hooker 2015-05-02 16:52:17.642804 |      MouseMoveHooker |           NSMouseMoved | y=374.5703125 x=601.62890625
