timestamp, mouse move rate, click rate, mouse press time, function key rate, function key press time, letter key rate,letter key press time, enter key rate, enter key press time, tab key rate, tab key press time, space key rate,space key press time, delete key rate, delete key press time, escape key rate, escape key press time,arrow key rate, arrow key press time, total keys rate, total keys press time
1.430939890640321016e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430939950640321016e+09,4.066031891820200528e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940010640321016e+09,2.638225943715933042e+01,3.333333333333333287e-02,2.004186312357584653e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940070640321016e+09,8.752938896643961186e+01,1.333333333333333315e-01,2.992769082387288556e-03,1.666666666666666644e-02,1.337619622548421195e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666644e-02,2.692063649495442853e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,1.351980368296305367e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666666666666666574e-02,5.381663640340168982e-03
1.430940130640321016e+09,3.115164309659222681e+02,2.333333333333333370e-01,4.226779143015543805e-02,8.333333333333332871e-02,6.263383229573567593e-03,1.000000000000000056e-01,1.076044241587320940e-02,5.000000000000000278e-02,3.130602836608886892e-03,1.666666666666666644e-02,1.220031579335530613e-03,5.000000000000000278e-02,7.537849744160969936e-03,8.333333333333332871e-02,5.231964588165283377e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333592e-01,3.414427439371744977e-02
1.430940190640321016e+09,4.472974487082892381e+01,5.000000000000000278e-02,3.745305538177490408e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940250640321016e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940310640321016e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940370640321016e+09,1.644225525298565458e+02,5.000000000000000278e-02,1.875385046005249162e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,5.989015102386474609e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,5.989015102386474609e-03
1.430940430640321016e+09,1.226451846094856961e+02,1.000000000000000056e-01,5.675427118937174595e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,3.656412760416666990e-02,1.666666666666666644e-02,1.593649387359619141e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,2.064315478006998727e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,4.022209246953328127e-02
1.430940490640321016e+09,1.645258759351191884e+02,2.166666666666666741e-01,3.283580144246419415e-03,1.000000000000000056e-01,1.423369646072387626e-02,2.000000000000000111e-01,2.885241111119588378e-02,1.666666666666666644e-02,2.402249972025553328e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,1.079646746317545515e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.499999999999999778e-01,5.628482500712076592e-02
1.430940550640321016e+09,1.629729065412703193e+01,1.666666666666666644e-02,2.003415425618489381e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940610640321016e+09,2.796911095679206127e+01,1.666666666666666644e-02,1.284615198771158840e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.430940670640321016e+09,9.817044484452472375e+01,1.166666666666666685e-01,7.374711831410725796e-03,5.000000000000000278e-02,7.062435150146484375e-03,2.666666666666666630e-01,3.798115253448486328e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,1.303124825159708740e-02,1.666666666666666644e-02,1.267051696777343663e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333592e-01,5.934188763300577568e-02
1.430940730640321016e+09,6.952864496787246651e+01,1.666666666666666574e-01,2.058962980906168475e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,2.528721491495768137e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666574e-01,2.528721491495768137e-02
1.430940790640321016e+09,3.111757809357019156e+01,6.666666666666666574e-02,1.104700565338134722e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.766549984614054269e-02,1.666666666666666644e-02,1.821700731913248640e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666644e-02,3.337581952412923322e-03,6.666666666666666574e-02,8.630474408467611255e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,4.145525693893432895e-02
1.430940850640321016e+09,6.620034011349540037e+01,6.666666666666666574e-02,2.579132715861002460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
